#{"t_start": 1765689860.5203285, "env_id": "None"}
r,l,t
378.95,1000,714.591177
-459.15,1000,716.847467
-963.755,1000,717.908397
172.9,1000,720.097511
-895.82,1000,724.620815
-742.715,1000,725.790344
-280.87,1000,728.32011
-701.8,1000,729.462892
-794.505,1000,731.793623
231.46,1000,732.910841
-613.04,1000,735.249569
-939.515,1000,736.355056
-945.47,1000,738.772489
-601.655,1000,739.893208
-662.06,1000,745.696946
-352.23,1000,746.813876
-771.52,1000,749.12856
-829.35,1000,750.239907
-1049.97,1000,752.604189
-445.73,1000,753.702327
147.285,1000,756.072058
247.74,1000,757.173202
89.035,1000,760.200773
-1011.52,1000,761.375841
-26.03,1000,767.545322
-645.435,1000,768.664615
-998.025,1000,771.514152
258.48,1000,772.67802
-516.26,1000,775.181524
220.425,1000,776.327136
185.165,1000,778.846246
-757.485,1000,780.146835
-762.455,1000,782.65431
-169.95,1000,783.736599
-51.72,1000,789.745351
4.21,1000,790.957532
-756.465,1000,793.441238
-1010.04,1000,794.562191
349.275,1000,797.109887
-550.59,1000,798.432693
-998.3,1000,801.066748
-921.045,1000,802.229265
-690.105,1000,804.679653
-931.03,1000,805.811091
-229.9,1000,811.780221
-731.295,1000,813.102223
-892.525,1000,815.621156
-706.335,1000,816.870216
377.095,1000,818.041528
-175.57,1000,820.579689
27.5,1000,821.713326
-1034.555,1000,824.231117
-687.55,1000,825.304492
-1016.785,1000,827.724344
-688.06,1000,832.844628
390.095,1000,835.501371
248.51,1000,836.687745
-987.2,1000,839.437916
-561.635,1000,840.609333
-943.15,1000,844.075477
-286.54,1000,845.25982
-904.175,1000,848.068787
-132.29,1000,849.388264
239.765,1000,852.103789
87.38,1000,857.223812
-381.02,1000,860.088097
-283.63,1000,861.354376
-544.89,1000,864.238354
-777.425,1000,865.500194
-989.31,1000,868.281459
-566.75,1000,869.576878
-907.61,1000,872.319862
-589.035,1000,873.676873
336.905,1000,876.899939
272.26,1000,882.341385
-564.225,1000,885.092719
-188.405,1000,886.410033
-1011.69,1000,889.046615
-206.54,1000,890.293365
-967.55,1000,892.891293
9.62,1000,894.081487
-811.12,1000,896.647659
280.885,1000,897.817038
-930.39,1000,900.38476
-1008.32,1000,905.253158
-200.5,1000,907.996762
-1033.745,1000,909.211862
-615.945,1000,911.833391
318.235,1000,913.026026
-217.915,1000,915.653426
-286.17,1000,916.886899
229.255,1000,918.421438
11.655,1000,920.947178
-988.02,1000,922.122036
366.47,1000,928.548908
27.18,1000,929.746613
258.06,1000,932.471891
-229.9,1000,933.64936
-836.7,1000,936.136206
152.45,1000,937.303417
-453.39,1000,939.909678
192.665,1000,941.077722
-127.145,1000,943.651855
-898.16,1000,944.906918
83.0,1000,951.324798
-1003.53,1000,952.527548
-430.91,1000,955.038394
-959.14,1000,956.218899
-546.51,1000,958.73035
47.645,1000,959.940536
-953.435,1000,962.867282
-1018.085,1000,964.247232
-595.34,1000,967.202042
-1000.405,1000,968.358159
-935.195,1000,974.673315
-1011.87,1000,975.88859
160.725,1000,978.481224
-824.42,1000,979.864992
-903.115,1000,982.165467
107.485,1000,983.2358
-1028.745,1000,985.477323
241.5,1000,986.538628
149.835,1000,988.848581
-952.215,1000,989.992509
-912.24,1000,995.743902
121.05,1000,996.840338
-904.51,1000,999.230181
182.435,1000,1000.336207
339.435,1000,1002.709132
-706.08,1000,1003.822556
-741.99,1000,1006.241822
-684.61,1000,1007.399278
-605.95,1000,1009.772737
-893.755,1000,1010.915192
-1021.565,1000,1015.410619
-448.665,1000,1017.775028
298.155,1000,1018.888629
-509.815,1000,1021.30542
302.03,1000,1022.428656
-503.725,1000,1024.819358
-1071.755,1000,1025.961587
-402.32,1000,1028.417089
-3.155,1000,1029.551621
-40.82,1000,1031.949314
-848.585,1000,1036.477262
-174.185,1000,1038.826769
362.145,1000,1039.929749
-359.595,1000,1042.2804
307.825,1000,1043.549885
-804.65,1000,1046.175319
5.29,1000,1047.358312
-547.635,1000,1049.964616
-247.505,1000,1051.130945
-229.075,1000,1053.798439
-920.21,1000,1058.539873
-875.43,1000,1061.23015
-934.55,1000,1062.452646
-619.155,1000,1065.140887
-1007.19,1000,1066.31097
-962.33,1000,1068.968744
-920.87,1000,1070.089875
250.12,1000,1072.440245
100.52,1000,1073.549099
189.845,1000,1075.925523
-942.08,1000,1080.377522
