#{"t_start": 1767430297.952366, "env_id": "None"}
r,l,t
-7435.05,2000,3881.240678
-7527.95,2000,3890.108601
1958.1,2000,3898.949103
1454.35,2000,3907.789724
391.45,2000,3923.922271
-6996.35,2000,3932.995865
2423.1,2000,3942.549579
-6576.15,2000,3951.489082
2384.9,2000,3960.320841
2378.95,2000,3976.822847
1414.75,2000,3985.649301
-7118.35,2000,3994.735343
-7063.05,2000,3998.588015
-7564.95,2000,4007.946513
1410.5,2000,4023.626348
-6716.7,2000,4033.198739
516.5,2000,4042.149106
-247.65,2000,4051.250868
653.15,2000,4060.869542
-81.5,2000,4077.128617
-6056.05,2000,4086.108669
1621.65,2000,4095.444195
-6678.1,2000,4104.440384
-2025.95,2000,4113.501077
1048.0,2000,4129.820305
-6352.6,2000,4138.82741
1870.7,2000,4147.854122
-6381.25,2000,4157.27558
-6245.35,2000,4166.178395
-5886.5,2000,4182.511678
1592.3,2000,4191.547844
512.45,2000,4200.548227
201.6,2000,4209.792229
-5942.15,2000,4218.94046
671.45,2000,4234.805271
3171.5,2000,4244.035752
171.5,2000,4252.823739
1289.35,2000,4261.700588
-3338.15,2000,4271.217107
-6798.8,2000,4287.162239
2845.45,2000,4296.35793
-7195.75,2000,4305.626185
-7248.1,2000,4314.483197
-1131.15,2000,4323.343196
513.55,2000,4339.548499
-7256.65,2000,4348.565275
3981.2,2000,4357.917613
-6713.3,2000,4367.299912
898.4,2000,4377.171016
-3609.75,2000,4393.683908
1849.3,2000,4402.783973
1739.0,2000,4411.719497
735.45,2000,4421.155147
-7292.85,2000,4429.97765
1806.95,2000,4446.292004
-473.8,2000,4450.726096
1507.65,2000,4459.562788
937.7,2000,4468.703779
2846.4,2000,4477.84282
-7183.8,2000,4493.877483
1929.45,2000,4502.664268
-7715.65,2000,4512.05198
1420.85,2000,4520.909567
581.65,2000,4529.798157
-6430.65,2000,4546.422136
272.9,2000,4555.356857
897.1,2000,4564.358681
-5832.75,2000,4573.610111
-464.25,2000,4582.437681
-6755.75,2000,4598.432057
1304.65,2000,4607.688935
842.9,2000,4616.52522
1746.75,2000,4625.368456
2949.15,2000,4634.637967
1117.2,2000,4650.36714
1275.3,2000,4659.622551
-6830.9,2000,4669.05335
-101.45,2000,4678.251559
3544.0,2000,4687.189292
1457.25,2000,4703.220558
3050.55,2000,4712.019903
-6421.5,2000,4721.490299
-7093.95,2000,4730.402945
-6946.65,2000,4739.393201
-7360.4,2000,4756.18257
-4994.85,2000,4765.146612
-646.0,2000,4774.40907
-6831.95,2000,4783.731227
-455.55,2000,4792.76989
2537.4,2000,4808.660496
1141.3,2000,4818.006923
-7153.0,2000,4826.953935
2286.75,2000,4836.032807
-6153.75,2000,4845.310924
-6961.15,2000,4861.179881
-6841.7,2000,4870.601661
1926.55,2000,4879.474717
-318.75,2000,4888.459415
-7006.1,2000,4892.313069
2497.8,2000,4908.633915
-885.2,2000,4917.616992
-7664.05,2000,4926.528965
1894.55,2000,4936.065943
2907.65,2000,4944.991474
3674.2,2000,4961.218492
-6149.7,2000,4970.123677
800.8,2000,4980.521962
-598.6,2000,4989.411323
-358.0,2000,4998.899723
874.5,2000,5014.818923
2319.25,2000,5024.088852
1185.9,2000,5033.117108
2052.9,2000,5042.04697
-6738.65,2000,5051.684538
-6192.5,2000,5068.243803
682.25,2000,5077.41449
-6875.5,2000,5086.754465
1458.85,2000,5095.697763
1832.85,2000,5104.632786
1872.7,2000,5120.828911
-2101.7,2000,5129.782851
2084.4,2000,5138.897737
1908.1,2000,5148.438083
1815.1,2000,5157.443569
-516.15,2000,5173.838036
468.4,2000,5182.899792
-2073.75,2000,5191.75479
-3237.15,2000,5201.374763
2380.95,2000,5210.281649
-7043.1,2000,5226.136285
-6749.5,2000,5235.432603
1506.05,2000,5244.349764
2404.85,2000,5253.599158
-376.85,2000,5262.981201
2851.15,2000,5278.750468
-541.75,2000,5287.614152
-3895.9,2000,5296.916125
-645.05,2000,5305.740716
2164.85,2000,5314.764617
523.25,2000,5330.967389
-7477.45,2000,5334.851264
1151.9,2000,5343.766417
1411.05,2000,5353.152657
613.05,2000,5362.086786
340.55,2000,5378.162102
1226.0,2000,5387.436726
-6964.65,2000,5396.540796
2387.0,2000,5405.523294
2225.85,2000,5414.778071
-6990.75,2000,5430.536923
1466.8,2000,5439.672609
979.7,2000,5448.993644
-6334.3,2000,5457.877259
1814.3,2000,5467.074965
4502.5,2000,5483.242146
399.5,2000,5492.164136
-6479.15,2000,5501.639531
-4237.75,2000,5510.576382
-6186.15,2000,5519.548189
2216.75,2000,5536.150645
1823.75,2000,5544.93355
-6534.25,2000,5554.023837
2883.75,2000,5563.370894
2431.0,2000,5573.119965
-6767.95,2000,5589.333918
-6808.8,2000,5598.819695
1468.2,2000,5607.927196
1741.05,2000,5617.039564
429.2,2000,5626.296907
-7021.65,2000,5642.030993
33.7,2000,5651.366491
-7042.8,2000,5660.337698
20.7,2000,5669.250142
-815.05,2000,5678.328561
808.3,2000,5694.318295
595.1,2000,5703.087148
-5460.2,2000,5712.390027
-1009.8,2000,5721.305503
1603.95,2000,5730.442763
-6760.25,2000,5746.92707
497.1,2000,5755.901849
-182.65,2000,5764.813696
1677.9,2000,5774.264845
812.9,2000,5778.106698
3535.4,2000,5794.38288
-375.3,2000,5803.665693
633.7,2000,5812.569195
1478.0,2000,5821.452407
1781.45,2000,5830.385324
-6884.25,2000,5846.648618
-6955.05,2000,5855.803555
-6050.35,2000,5865.084946
2626.8,2000,5874.020968
-244.2,2000,5883.337837
1493.15,2000,5899.556283
-424.9,2000,5908.501477
-7302.1,2000,5917.633245
3125.5,2000,5926.955737
-1626.35,2000,5935.731101
3885.2,2000,5952.076443
-6883.2,2000,5961.002561
-1399.55,2000,5969.841809
-6774.05,2000,5978.843783
-6952.4,2000,5988.158251
-6485.55,2000,6003.848711
-7140.7,2000,6013.389295
2777.0,2000,6022.238408
3065.45,2000,6031.143385
-6869.75,2000,6040.197204
2555.25,2000,6056.358296
-4969.35,2000,6065.163891
1960.6,2000,6074.643469
2142.75,2000,6083.56221
-6464.65,2000,6092.65677
-5449.4,2000,6108.799124
-4977.75,2000,6117.937819
1792.4,2000,6127.054867
932.35,2000,6136.423153
23.25,2000,6145.337046
-86.15,2000,6161.699209
1166.4,2000,6170.654408
2911.75,2000,6180.631132
-6758.75,2000,6189.826269
-7028.7,2000,6199.172622
1054.2,2000,6215.280721
3245.05,2000,6224.551186
-7624.05,2000,6228.388846
-581.1,2000,6237.292161
1957.1,2000,6246.179438
-7044.8,2000,6262.650663
-4712.85,2000,6271.568433
2761.1,2000,6280.904005
1541.35,2000,6289.944883
-5610.3,2000,6298.864928
-6071.0,2000,6315.181858
-424.8,2000,6324.13271
-342.45,2000,6333.406517
2395.75,2000,6342.796131
-440.9,2000,6351.86321
1689.65,2000,6367.496646
2733.75,2000,6376.713241
3727.65,2000,6385.622896
-6695.05,2000,6394.708573
-6944.45,2000,6403.941264
1632.55,2000,6419.376056
-6221.75,2000,6428.179099
-14.85,2000,6437.489984
197.75,2000,6446.444694
1968.25,2000,6455.568061
-6752.15,2000,6471.672837
2364.15,2000,6480.51415
-6267.55,2000,6489.355281
-6600.45,2000,6498.648871
-578.35,2000,6507.643681
1285.05,2000,6524.196521
-89.15,2000,6533.090238
2736.7,2000,6541.972023
